datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
2019.12.05 18:46:57,91,13.2,10,13.5,33.2,1
2019.12.05 18:41:57,90,12.8,90,13.563,33.2,1
2019.12.05 18:36:57,91,13.2,10,13.688,33.2,1
2019.12.05 18:31:57,91,13.2,0,13.75,33.2,1
2019.12.05 18:26:58,91,13.9,70,13.813,33.2,1
2019.12.05 18:21:57,91,13.7,50,13.813,33.2,1
2019.12.05 18:16:57,91,14.7,0,13.938,33.2,1
2019.12.05 18:11:57,91,14.7,0,13.938,33.2,1
2019.12.05 18:06:57,91,14.9,10,14.125,33.2,1
2019.12.05 18:01:57,91,14.7,50,14.25,33.2,1
2019.12.05 17:56:57,91,14.9,40,14.25,33.2,1
2019.12.05 17:51:57,91,14.9,0,14.313,33.2,1
2019.12.05 17:41:57,85,15.2,0,14.375,33.2,1
2019.12.05 17:36:58,84,15,50,14.5,33.2,1
2019.12.05 17:31:58,88,15.3,0,14.438,33.2,1
2019.12.05 17:26:57,83,15.6,0,14.625,33.2,1
2019.12.05 17:21:57,74,15.7,0,14.813,33.2,1
2019.12.05 17:16:59,73,16.2,50,14.813,33.2,1
2019.12.05 17:06:57,70,16.7,20,15.125,33.2,1
2019.12.05 17:01:57,69,16.9,80,15.188,33.2,1
2019.12.05 16:56:56,69,17.9,0,15.188,33.2,1
2019.12.05 16:51:56,66,18.3,10,15.375,33.2,1
2019.12.05 16:46:56,62,18.9,70,15.438,33.2,1
2019.12.05 16:41:57,56,19.5,90,15.313,33.2,1
2019.12.05 16:36:57,53,20,30,15.375,33.2,1
2019.12.05 16:31:56,50,20.8,0,15.563,33.2,1
2019.12.05 16:26:56,51,21.4,0,15.688,33.2,1
2019.12.05 16:21:57,46,22.1,10,15.75,33.2,1
2019.12.05 16:16:56,46,22.8,30,15.813,33.2,1
2019.12.05 16:01:57,40,23.2,10,15.938,33.2,1
2019.12.05 15:56:56,37,22.9,40,16,33.2,1
2019.12.05 15:51:55,39,22.7,20,16.063,33.2,1
2019.12.05 15:47:01,41,22.2,20,16.25,33.2,1
2019.12.05 15:41:55,39,21.7,50,16.125,33.2,1
2019.12.05 15:31:55,39,21.8,10,16.313,33.2,1
2019.12.05 15:26:55,38,22,20,16.5,33.2,1
2019.12.05 15:21:56,40,22.6,30,16.563,33.2,1
2019.12.05 15:17:00,37,22,10,16.563,33.2,1
2019.12.05 15:11:55,34,22.3,60,16.5,33.2,1
2019.12.05 15:06:55,36,22.1,0,16.563,33.2,1
2019.12.05 15:01:55,29,23.7,0,0,33.2,1
2019.12.05 14:54:49,27,25.9,0,16.563,33.2,1
2019.12.05 14:49:48,23,26.9,0,16.563,33.2,1
2019.12.05 14:44:48,29,24.7,0,16.688,33.2,1
2019.12.05 14:39:48,27,26.1,0,16.625,33.2,1
2019.12.05 14:34:48,22,27.1,0,16.625,33.2,1
2019.12.05 14:29:48,32,23.1,0,16.625,33.2,1
2019.12.05 14:24:48,28,24.5,0,16.625,33.2,1
2019.12.05 14:19:48,26,25.5,0,16.375,33.2,1
2019.12.05 14:14:48,20,28.4,0,16.438,33.2,1
2019.12.05 14:09:48,29,26,0,16.438,33.2,1
2019.12.05 14:04:48,27,25.4,0,16.313,33.2,1
2019.12.05 13:59:47,23,28.7,0,16.313,33.2,1
2019.12.05 13:54:47,28,25.3,0,16.125,33.2,1
2019.12.05 13:49:48,18,30.8,0,16.25,33.2,1
2019.12.05 13:44:48,16,30.5,0,16.125,33.2,1
2019.12.05 13:34:47,12,32.7,0,15.875,33.2,1
2019.12.05 13:29:46,14,34,0,15.938,33.2,1
2019.12.05 13:24:47,17,32.2,0,15.75,33.2,1
2019.12.05 13:19:46,19,30.4,0,15.75,33.2,1
2019.12.05 13:09:46,13,36.6,0,15.5,33.2,1
2019.12.05 13:04:46,12,36.6,0,15.5,33.2,1
2019.12.05 12:59:46,12,35.7,0,15.375,33.2,1
2019.12.05 12:54:46,11,36.4,0,15.188,33.2,1
2019.12.05 12:49:46,11,36.1,0,15.188,33.2,1
